Index,ARG,cARG_abundance,cARG_cDB_abundance,total_reads
MHH255,0.000292778,1.07E-06,6.72E-07,22334342
MBS1140,0.00062793,5.08E-06,2.89E-06,14162400
MHH367,0.000567102,1.28E-06,6.39E-07,10957472
MHH392,0.00108828,5.28E-06,1.91E-06,21986990
MBS1133,0.000879851,4.13E-05,3.91E-05,17517733
MHH629,0.000595035,8.52E-06,7.43E-06,17367046
MHH387,0.000584369,6.46E-06,4.96E-06,19965133
MHS132,0.000557517,1.40E-06,8.08E-07,13615724
MBH077,0.000922596,8.52E-05,8.32E-05,43916278
MHH595,0.000678341,1.36E-05,1.31E-05,23314222
MHH577,0.000558022,5.05E-06,4.05E-06,36020103
MHH351,0.000404168,2.70E-05,2.63E-05,20078282
MBH084,0.000706369,3.65E-06,1.18E-06,55053363
MHH579,0.004314,0.000596306,0.000582411,25619376
MBH086,0.001133993,2.58E-05,2.38E-05,22372268
MHH333,0.000730378,1.54E-05,1.34E-05,23181149
MBH055,0.000655268,2.24E-06,1.35E-06,56366287
