unifrac	MBH038	MBH039	MBH040	MBH041	MBH042	MBH043	MBH044	MBH045	MBH046	MBH047	MBH048	MBH049	MBH050	MBH051	MBH052	MBH053	MBH054	MBH055	MBH056	MBH057	MBH058	MBH059	MBH060	MBH061	MBH062	MBH063	MBH064	MBH065	MBH066	MBH067	MBH068	MBH069	MBH070	MBH071	MBH072	MBH073	MBH074	MBH075	MBH076	MBH077	MBH078	MBH079	MBH080	MBH081	MBH082	MBH083	MBH084	MBH085	MBH086	MBH087	MBH088	MBH089	MBH090	MBH091	MBH092	MBH093	MBH094	MBH095	MBH096	MBH097	MBH098	MBS1115	MBS1116	MBS1117	MBS1118	MBS1119	MBS1120	MBS1121	MBS1122	MBS1123	MBS1124	MBS1125	MBS1126	MBS1127	MBS1128	MBS1129	MBS1130	MBS1131	MBS1132	MBS1133	MBS1134	MBS1135	MBS1136	MBS1137	MBS1138	MBS1139	MBS1140	MBS1141	MBS1142	MBS1143	MBS1144	MBS1145	MBS1146	MBS1147	MBS1148	MBS1149	MBS1150	MBS1151	MBS1152	MBS1153	MBS1154	MBS1155	MBS1156	MBS1157	MBS1158	MBS1159	MBS1160	MBS1161	MBS1162	MBS1163	MBS1164	MBS1165	MBS1166	MBS1167	MBS1168	MBS1169	MBS1170	MBS1171	MBS1172	MBS1173	MBS1174	MHH247	MHH248	MHH249	MHH250	MHH251	MHH252	MHH253	MHH254	MHH255	MHH256	MHH257	MHH258	MHH259	MHH260	MHH261	MHH262	MHH263	MHH264	MHH265	MHH266	MHH267	MHH268	MHH269	MHH270	MHH271	MHH272	MHH273	MHH326	MHH327	MHH328	MHH329	MHH330	MHH331	MHH332	MHH333	MHH334	MHH335	MHH336	MHH337	MHH338	MHH339	MHH340	MHH341	MHH342	MHH343	MHH344	MHH345	MHH346	MHH347	MHH348	MHH349	MHH350	MHH351	MHH352	MHH353	MHH354	MHH355	MHH356	MHH357	MHH358	MHH359	MHH360	MHH361	MHH362	MHH363	MHH364	MHH365	MHH366	MHH367	MHH368	MHH369	MHH370	MHH371	MHH372	MHH373	MHH374	MHH375	MHH376	MHH377	MHH378	MHH379	MHH380	MHH381	MHH382	MHH383	MHH384	MHH385	MHH386	MHH387	MHH388	MHH389	MHH391	MHH392	MHH393	MHH394	MHH395	MHH396	MHH397	MHH514	MHH515	MHH516	MHH517	MHH518	MHH519	MHH520	MHH521	MHH522	MHH523	MHH524	MHH525	MHH526	MHH527	MHH528	MHH529	MHH530	MHH531	MHH532	MHH533	MHH534	MHH535	MHH536	MHH537	MHH538	MHH539	MHH540	MHH541	MHH542	MHH543	MHH544	MHH545	MHH546	MHH547	MHH548	MHH549	MHH550	MHH551	MHH552	MHH553	MHH554	MHH555	MHH556	MHH557	MHH558	MHH559	MHH560	MHH561	MHH562	MHH563	MHH564	MHH565	MHH566	MHH567	MHH568	MHH569	MHH570	MHH571	MHH572	MHH573	MHH574	MHH575	MHH576	MHH577	MHH578	MHH579	MHH580	MHH581	MHH582	MHH583	MHH584	MHH585	MHH586	MHH587	MHH588	MHH589	MHH590	MHH591	MHH592	MHH593	MHH594	MHH595	MHH596	MHH597	MHH598	MHH599	MHH600	MHH601	MHH602	MHH603	MHH604	MHH605	MHH606	MHH607	MHH608	MHH609	MHH610	MHH611	MHH612	MHH613	MHH614	MHH615	MHH616	MHH617	MHH618	MHH619	MHH620	MHH621	MHH622	MHH623	MHH624	MHH625	MHH626	MHH627	MHH628	MHH629	MHH630	MHS118	MHS119	MHS120	MHS121	MHS122	MHS123	MHS124	MHS125	MHS126	MHS127	MHS128	MHS129	MHS130	MHS131	MHS132	MHS133	MHS134	MHS135	MHS136	MHS137	MHS138	MHS139	MHS140	MHS141	MHS142	MHS143
MBH038	0.0	22.1033125076	23.7008743821	19.2146864051	19.2634119629	12.9042185336	16.540150181	18.636234873	14.4665007674	16.1528928927	14.4434625217	14.6055002638	18.6304492147	24.6433346229	18.4711729036	17.4611183805	22.8909498014	17.436574775	18.3555456147	20.0882154615	12.2836809771	17.1479839019	11.8438924436	20.7697101312	17.4222591294	18.0392498933	22.1609194218	11.1329158365	17.7846053395	13.5302140097	18.8180187086	16.0342450851	22.2683906937	20.1133542966	14.8446981687	16.53498969	15.3175888628	21.3198829202	14.9442593564	22.5996931719	13.113106324	25.9861683548	18.6991265186	17.0172384067	20.0858396584	17.3579117382	17.5969710956	10.9946284717	19.2215199062	15.6415835028	19.1158388772	16.7937514042	16.3763619823	14.9860794902	13.0671321291	24.7761381145	15.9414083332	17.1216070437	19.0850161499	15.3828461116	18.4672247417	16.0027402607	14.7189318086	15.5513114118	19.5015274764	21.8595872121	21.801324829	13.7227478768	12.7743811635	17.2019888687	12.7174542044	20.0902799163	14.677122739	17.6808025745	14.8775828083	17.2658391578	29.8735452156	19.4329598571	16.8652822395	19.7817993816	22.9031614208	15.4929787161	13.6968200409	19.5913217926	19.1965531403	17.7650785408	13.1199491611	14.6729162781	13.0386406161	16.4982465279	22.4614052306	25.945780178	19.4306795387	14.3668061453	26.8186994701	20.6379371727	20.619128608	13.6546272287	17.9789051465	13.7563344392	13.7391194596	9.87271720068	15.0757863529	15.4099632138	14.6194254394	14.5883626353	15.4057896085	11.9725200132	22.7172377801	13.9983750926	34.1868759832	26.0878868714	12.1952217357	14.0912178227	14.6560016962	17.580340755	11.3306091424	19.6184138526	34.1301376368	14.3016118678	12.5378119595	12.6297311235	17.5997490462	18.0792869521	14.9388432447	16.7713421733	16.246025398	13.904727877	14.890440796	15.6960818824	13.6383382014	15.5791566715	16.1344724755	13.3734602093	14.1852810388	17.4960521519	12.6465280469	11.8785685977	17.8169394674	16.5904767609	12.0750818625	17.0891771821	21.2557098121	18.0683678121	17.0348021908	12.847415947	15.928289083	9.85392086789	14.4200504	17.4580346559	15.8217636744	34.1752069101	19.0780024411	15.8913434923	17.8529914938	14.7096496052	17.9450182104	14.6466862891	12.2326312749	28.3610130045	12.9055251217	11.7062860908	16.9126334279	15.6740451971	19.7568708456	17.3197431925	15.8499446535	9.0091290646	17.2351896889	18.2307666764	12.8069190345	16.0624422259	16.7678389202	16.3994976452	15.6920838676	13.9831707481	15.5312759171	12.017425879	15.3635110502	12.0701409769	13.4692450164	16.3663185937	18.2835260492	16.1917497261	24.930121781	16.3248770199	14.6426132605	16.0922370785	16.9977674117	17.8050866731	17.0771962942	17.0053074433	20.5423332407	17.0265960275	19.3646625576	16.061083419	14.8419683325	12.7804892556	13.0497043614	13.5317536202	30.1794951907	21.8394034265	14.7317339251	12.2176372324	20.5835386475	20.0920640169	18.2863176655	13.2173338239	25.4399619348	11.3356970775	10.7320921697	19.06024767	20.6160413408	16.8512372623	11.3739424176	11.5496587501	14.3929824381	12.9772157732	23.065808702	20.2166218244	15.9822292622	19.7447782318	16.1541888801	21.0313939733	12.611940434	18.3928898302	23.7079913016	18.4477049883	24.8335792413	22.7849045617	16.7649328108	11.9914819538	20.2138962572	14.5341917489	14.9475419639	23.2259458203	22.4917376995	21.7518597211	21.4007999067	20.5793398588	31.9911895278	17.6910122923	20.9859738023	12.4590246131	15.7750611497	19.6761200742	14.8459578018	17.8578446966	23.7608356363	16.8552153608	22.7957770828	29.4025428317	16.355487696	16.8894992273	27.6038185411	8.88497552736	24.3713041129	15.671600647	13.9483652814	17.6136083567	17.7778575037	22.7715804707	17.4723094929	10.9389020281	33.3367153922	15.2210195061	20.1847742729	9.15153742653	19.8021457534	16.3472406153	16.214043323	17.4319156	16.0885077607	11.805926568	12.6392601659	15.0776710691	18.5096063953	27.9803405805	14.8530789047	14.2681331169	24.8368504273	19.5866574254	12.9135289049	14.4449085689	29.1704719982	22.6550293185	20.3397378934	14.7994235933	34.1929854392	24.9677286595	25.7697712716	13.1076033206	15.0140779367	13.6994147481	19.0051107081	13.2382106738	17.8868149878	17.597298207	33.5859245695	17.9761429677	13.6660962323	12.8663562804	12.1205177651	16.572298517	19.2748461646	15.0299719303	15.3459852023	28.6023295857	17.6854166569	17.6891443246	19.9232461452	13.5257228331	13.8412197473	28.2755386944	33.697282101	16.2825779782	33.9761673572	11.4530105295	21.6474757662	22.1630402154	22.0332411504	20.8763887575	18.7263203151	18.1310628446	18.8486000302	10.5690926133	13.8492690011	13.7911926188	13.6067018079	12.6715631021	19.6283491957	15.9308856876	33.7901517054	15.6961928588	10.7633407734	18.1532835327	9.32418532647	12.3404217595	13.4406906978	10.9924168438	26.6296018478	13.2804405057	20.683318172	18.1705829624	15.6493721713	14.2850240732	19.2160126103	32.8186373882	19.8490770729	21.5339010983	19.9817124527	11.0929820811	15.8580875511	24.5493728138	17.8699638222	13.9286358826	15.1071745908	14.6134118167	13.7348532589	11.906225841	19.6195032142	17.2115387342
MBH039	22.1033125076	0.0	1.93146893009	19.0867114965	27.7079911252	20.9487203535	27.8599419708	24.6495952214	26.6115722907	23.2301759952	10.9821994687	23.8130380006	25.61050577	29.4194558037	24.8967266493	24.2219254043	27.9812144104	24.015600944	25.4987936578	27.7324662082	19.3646044245	23.8615632585	17.7906240848	26.7909329003	24.663097664	28.2391428281	27.7605549414	18.9427729499	25.0974521514	21.3384826907	24.3052608828	24.5541823736	28.926837575	26.1158416321	10.063462042	21.3372278664	22.6984952555	27.0003045723	24.4561560857	28.2535432381	22.2496134725	31.9140798882	25.4398550395	25.7251868724	26.7316303589	24.066710729	26.4929341145	21.0740144727	26.2792833228	24.8082519832	28.1356492696	23.8666515087	23.9773266883	24.3065668647	21.9746031894	28.6315072184	24.9084697468	24.7492020556	26.0613885689	26.2859916903	26.6224079564	25.4730287524	22.0839046765	21.6455565158	30.6653443539	28.0164973286	2.74476365261	21.6052327715	19.3552980722	26.257464805	24.67061026	27.730467113	25.8034014557	26.5553077997	25.1312853052	26.0875350512	30.275996626	25.4293864196	25.9093018385	27.2362292641	8.68197834158	25.1526856914	26.2192476902	28.5040424269	24.9583543296	26.4163929182	22.5158658771	14.3181134648	20.7930108223	26.0146920582	29.1417450156	31.0666705988	26.9841393718	10.75564397	31.0359034946	26.9927680031	27.0479503379	24.0214349374	26.9597620357	23.3393883158	24.1015492752	15.9645882808	24.9781849863	16.381741508	18.8651177755	22.8456366805	21.6134957934	23.0979711869	28.9258354857	22.037919007	34.5893273936	31.6429401695	22.0072223435	19.4843972753	23.0333969444	27.5023033876	20.5159852429	25.7077597272	34.5325890473	15.9730147712	16.511757906	26.4244215145	23.7598161639	28.5299342641	21.9557199418	23.5099781156	24.1109633836	25.6271840069	22.6385597978	11.3046768286	23.8317053586	14.6537513036	23.3762158643	22.6694893769	25.0566668934	23.8097059403	20.9945840992	24.5826929119	27.961980859	10.7457293413	23.719573386	14.1668695307	27.6749752449	11.7268939903	25.0322910302	12.5587004823	23.1656473443	18.3935372087	19.477492521	23.3819046383	26.2995281117	34.5776583206	26.4941418489	17.8059943339	25.0021915263	19.0166417225	9.40650204652	25.4000377209	20.6037385957	30.827443733	22.8163551761	19.5988822222	24.6790200268	25.1658629172	26.9287807177	25.8858175099	25.2717190408	20.761490919	24.6187574162	23.9618665778	18.8793605503	28.119630056	19.8647860895	26.3229537434	26.0837393953	14.8451243821	22.0463430981	23.4530724969	19.0291048094	23.1363073358	19.2134706026	21.2881038532	27.7811188828	26.3232520852	29.0025605645	25.7525881035	11.5063598759	13.4934724894	25.1104842478	25.3363367694	17.2866207876	25.0422506982	26.315489281	26.3115488115	26.3673866456	26.1590549021	23.3529135281	22.155539039	21.5032177645	24.9829181364	30.9098887524	18.1060629865	20.2755675921	16.2036280611	24.1623063304	25.7720446643	26.4040490894	24.6530602619	30.4864097568	21.9847248221	18.974520673	25.1812107567	23.3852613794	26.8887006953	16.8307028495	20.4038594075	24.0476380946	21.876707623	28.996530526	28.3825118368	26.6880424479	23.689951272	9.49140049254	22.9382049001	14.2091424721	20.8526055775	29.7164547068	26.8963634558	29.0330864591	7.37291248614	25.2838430519	22.5883955072	28.0818990648	21.3885184285	22.7124001577	28.789712347	29.9676171767	28.4832058841	27.3719561726	26.751904373	32.7574156147	26.2078655599	30.8782149685	24.0712951721	28.5146150635	25.7675346162	23.048623659	8.11046979622	30.116472449	27.5303500006	27.995321	30.1303213021	11.8709248299	25.4530170225	31.9074129094	23.270050724	28.4896953099	24.5797533934	25.3093871028	25.4931496561	25.6458640427	29.5081490143	25.2615522854	24.2750663499	33.7391668027	12.345933574	19.6551748697	23.5281376407	26.4195500005	23.0328969611	25.0214070957	26.4458623251	19.53760682	21.5122750939	22.2712263006	25.3437976139	27.2620592704	31.6258008476	22.5374678941	22.9726431549	3.2190654075	25.5846402113	14.4403588381	16.2948789054	32.2057817417	29.1560881295	29.2750011273	22.3502229742	34.5954368497	30.61544779	29.9583114158	26.3489886163	25.2369905421	20.1966418936	24.7688323441	25.0558933617	26.4503902703	25.1374512157	33.9883759799	9.0439362903	20.9700076878	24.8426071561	18.6081423615	25.916867376	13.2035090468	14.284863797	25.6392172918	31.7141235485	25.0963714082	27.5750323849	23.5573534876	26.3307651802	23.87923199	30.3854583363	34.0997335114	24.6233942014	34.3786187676	17.6890710445	27.090338316	28.4147321814	28.6938582777	27.6001207083	24.3304787447	25.4486542898	25.1166609916	23.0520542995	26.2141126565	22.053507731	19.1286625656	24.3718786105	25.3131660007	25.815526437	34.1926031159	23.5775423192	17.8315763248	24.4769886426	15.8633703875	18.5602253057	16.103411736	21.3914024567	28.2894651517	24.1436364291	28.2167942704	15.6549390778	16.1944128713	22.3355269098	26.2061015126	33.2210887986	27.5010386626	28.1957066134	25.5064203892	22.6238207217	9.39867071345	30.4101252012	25.0764618858	15.7570433894	23.6214507886	23.2770209417	20.5633562615	21.3738251879	25.3817220828	23.7125975451
MBH040	23.7008743821	1.93146893009	0.0	19.4559013924	28.6622596823	21.3351698547	29.1358571866	25.2835159876	27.9360937641	22.8719748573	12.5011223415	25.4078753424	25.9995087082	30.5352288233	25.2857295875	24.4466993474	29.2595038971	24.2426117188	25.8070443648	28.2842753391	21.1236707614	23.8912563829	18.4777582163	27.2754683922	24.888949818	28.6311312516	27.9857783632	20.7018392869	25.3249506271	21.568295521	25.6583311419	24.7789563167	29.1579972125	26.5048445703	11.822528379	21.9468547159	23.0083305252	27.3853657178	25.8115523356	28.5683995982	23.3581295684	31.6625140416	25.7481057464	27.1590322351	28.0767273739	24.4584381999	26.8846615854	21.463017411	27.7931071805	26.2451175212	28.5246522078	24.975523014	24.2855773953	24.7790465668	22.3663306602	29.0232346893	26.3519209785	25.310007878	26.4497018195	27.2402602473	26.8499064321	26.743181807	22.3086786195	22.6024474331	32.2763264057	29.8685762937	3.0494346508	21.8318609134	18.8342046017	26.5688662244	25.0589277305	27.8808376675	27.3984140257	28.4073867648	25.3587837809	26.4792625221	30.1968333726	27.2057767144	26.2202770781	28.1129192051	9.41296473577	25.3768972688	26.610975161	28.8966402411	25.8999934091	27.3706614752	23.5508866654	15.2614838913	21.0177847653	26.1589188827	29.6142247178	32.0331995527	27.6157060069	12.0416885847	31.3468787342	28.2793461512	27.4369532761	24.831139497	27.2680127427	24.4532968302	25.1359782332	17.7236546178	26.7372513233	16.0235403701	19.494809733	23.2373641514	22.0856972561	23.0010205317	29.3981907	22.4251808357	34.5101641402	32.6902213547	23.0422431318	19.6150175446	23.4148511755	27.9747830897	21.6309308866	25.7770730685	34.4534257938	16.9219743221	16.8893639955	28.183243459	24.6257570151	29.3240606249	22.42725681	23.5794083366	24.5834430858	26.5814525639	23.027562736	12.0920922075	23.9789238653	14.801609016	23.7633056304	23.0608439255	26.2458954329	24.7192863362	22.7536504362	24.9744203828	28.4344605611	11.1087324602	24.1048198811	13.8909098634	28.4650148068	12.0341822387	25.9797482557	14.1562623568	23.3908339809	19.9910990831	19.2027681469	23.6910052696	27.9778422175	34.4984950671	27.1199524156	18.0334928096	25.3128163993	18.754377868	10.4537832317	27.0748302996	20.8108030766	31.9559339312	22.6383944321	19.9086301718	25.1514997289	25.4741136241	27.6353435157	26.1940682168	26.3814899486	22.5202657751	25.7388450223	24.350869516	19.5943029397	29.6364396992	20.4933435549	26.7146812142	26.4727142104	14.4088955456	22.1931385407	23.3354478676	19.2529411566	23.2778554727	19.3614840623	21.8325424213	28.4943343361	26.7929572469	29.8135448527	27.3474254453	13.1846739816	14.7768174134	25.4214594874	25.8088164715	18.5667682848	25.2433570106	26.7044922193	26.7005517497	26.5921605886	27.5114410491	23.6638887677	22.6280187411	21.7279917076	25.293893376	31.6512710556	18.4942724315	20.6667074503	16.588672183	24.061826823	26.1637721351	26.7930520276	25.125539964	31.4529387108	22.2923853201	19.522538743	26.125618384	23.0419711734	27.920996951	17.620489324	21.2735176411	24.274776581	22.0109065903	29.2276864941	28.6887763482	28.4593691818	23.7551126881	9.71366260787	23.8352260729	14.7582053264	20.8392096257	29.5440720566	27.2878131695	30.3518651232	7.11833434879	25.7563227541	24.2623940158	28.5543787669	21.853985764	23.0228468216	29.6603089933	31.6581916793	28.223218309	27.1997802909	27.1409073112	33.7239445686	26.5964050854	32.4880372399	25.3482175901	30.0314247067	26.077881017	23.9161721657	9.13407509209	30.109417039	28.6461230201	28.3056845842	30.5320900077	12.6635793977	25.5162865031	31.7240440697	24.8648880658	28.2340426644	24.890728633	25.6994826062	25.8841278362	26.1183437448	29.6583231339	25.2450186393	25.9524397163	33.6891299133	12.5643822567	20.3030065305	25.0394982187	27.2225428318	23.2576709042	25.4104100339	26.9205742523	19.6057813785	23.1905891996	23.7825868785	25.7329383602	27.3253287509	32.5923298016	22.7616001104	23.3630307845	2.45007885938	25.0645068326	16.1186729438	17.4085309116	33.4880857806	30.1226170834	29.5859763669	23.6255138831	34.5162735962	30.6059151822	30.5194155683	26.7407160872	25.626648532	20.6691215957	24.6743517904	25.4476208325	27.0009473269	25.5264541539	33.9092127265	10.0700387824	21.2782583947	26.431893775	18.9917706592	26.1460949154	13.0197203577	14.3585510244	26.111696994	32.6806525024	25.3211453512	28.5224896104	23.0596873409	25.8945363436	24.6696062442	30.7744612745	34.0205702579	25.8316823982	34.2994555141	18.7213673002	27.4943261837	28.2410241572	30.0608678135	27.7472744531	24.3968428677	25.837657228	25.4281232649	24.2519470231	26.6833706844	22.1975294428	19.2765183766	24.7636060814	25.7021689389	26.04030038	34.1134398624	24.7681700706	19.501753241	25.0169912374	17.5416844932	18.8974334563	16.4924146742	21.4536962904	28.6204198004	24.5318905152	28.6892739725	16.0421830102	15.9196884973	22.6437776168	26.830636624	33.375671349	28.8619452773	28.0216317218	25.6546138741	23.0128236599	10.1796593925	30.8817270795	25.3847125928	16.1817230045	23.9297014956	24.5572439494	20.2970118248	21.442006295	25.4461602998	24.6791264991
MBH041	19.2146864051	19.0867114965	19.4559013924	0.0	22.6183388087	17.0808543582	23.4887664397	12.808097737	22.1801111848	14.640289672	15.9716832154	19.5158749001	20.0014636004	18.005970965	14.8720940305	19.593162497	15.848436797	17.9541990634	20.3235063935	15.6587461548	15.6503312077	20.2739426546	14.1591657244	15.9240806366	21.0175955608	16.8019920557	17.0342271979	16.3260831956	20.9792107924	14.0047269013	16.9115834033	20.3942887657	16.8041251496	17.7510206303	18.7783532152	15.4291501734	13.0511885956	16.6015842731	17.800796331	15.9643540374	18.7293206614	20.0845826782	19.7448179458	16.4794419322	15.9351676313	20.4337958451	22.651807737	16.3744142132	15.9294351168	15.5300996671	18.5334311003	12.3000930271	18.6582712324	19.1629235574	18.0894227088	16.4006221543	18.5115848611	20.2675997029	17.8535780906	20.4928713057	17.6076870721	17.1936208555	17.9402156623	16.7837016012	28.0193720299	17.8683266002	18.0698450353	18.7839661474	14.1473848547	22.2477869209	20.5615788515	18.6195807448	16.5046908764	19.0600482664	21.681328554	18.2079935003	17.6100363538	17.4755308742	18.2737498388	15.5404609366	17.0578749139	21.6257988537	22.0253194471	17.8858534336	18.5631149719	17.8601375883	14.5449862021	20.2428402817	17.9228614082	21.9867949502	17.2161005167	21.3645069816	19.4302891349	16.8953196395	18.9860817222	15.1342984099	15.2207208645	19.889574592	17.8489067341	16.9059234012	19.8110797587	17.5049712318	16.4780443405	14.0444505741	14.1203673227	18.9888624479	12.4404380763	18.6745285389	16.7600241455	18.4254008068	24.6509771004	21.6695791089	18.8389790524	15.3791062442	17.5125708903	19.1831332481	16.9216332683	16.3024829186	24.5942387541	15.6795142037	15.5908105263	18.5361308698	19.7768347609	25.9113404354	16.2523288346	17.7720557076	20.326683546	19.2559783649	16.45444459	14.3792201396	19.0960983148	16.607265574	13.6322062944	17.7993063267	17.9862504056	19.9156609505	15.5221836574	20.3086640437	18.783942409	17.1305109265	17.9706750191	14.8186603473	23.6699030325	16.723241528	18.1164187038	16.9750975553	17.3419546693	16.8697020056	15.1729640511	19.2686311346	19.3658550695	24.6393080273	19.6438973749	14.9788571094	18.518799229	13.245057156	20.8125909298	22.5006549039	15.9583808814	20.3319571508	18.8795974889	15.7946815251	16.43802676	19.1318284984	15.9840500829	22.1623564158	17.2341939783	14.2685335993	17.4157170475	11.9437877928	16.6475095519	18.5300989217	11.4763693262	17.3169962017	19.266997849	16.1654949505	12.3969083196	17.67600293	13.4499822608	17.47226282	17.6232359457	18.2676693918	16.1466465004	18.3487881429	18.6169277695	17.5579857196	16.8793795074	18.3360040027	21.1782943179	19.3029542925	11.0493437175	21.1215016971	17.4958503089	20.8576702882	15.1498302916	17.5476973416	19.5023536074	18.2973264355	18.1653532761	19.1200584303	20.5709434398	11.9130491009	17.8338263165	14.9265098789	11.1610557928	11.2543769592	18.7910695308	20.463603688	20.1683342089	18.1270649359	17.8573071512	13.1536460306	10.4022831576	17.7381334213	16.2194559597	16.7725094845	20.5112889883	18.0054792741	16.798747347	17.2683099103	20.0378833129	11.8323272307	14.9136722718	14.5173223201	16.2092655214	12.4991939901	17.6083180974	19.7226458522	17.1334826924	16.3382047386	20.5286015681	15.9927020714	21.6131949333	15.0577806996	17.770855476	16.9404553316	19.8339168232	16.4510583831	17.4485187546	15.353676154	23.3911934854	17.2741823609	20.8397372211	20.0915201475	20.6221278478	22.2933835673	16.1176898438	14.0471349903	17.7515833138	18.1686751344	19.7879910864	19.4808364721	16.8377645712	20.60544515	20.4504151348	20.0298534449	16.286542863	20.8907628167	21.0288562573	19.515549756	17.6551035574	17.1360810818	20.3788588469	19.1997222099	23.433523367	16.7667971564	15.9809219036	19.6793108736	15.7048375248	15.8826840719	19.329650219	18.2079813614	16.3056311818	19.259071107	21.075484527	19.0145582239	18.7026465344	22.3252002761	18.987188397	19.4413895376	19.5804684627	15.7850670758	17.9025959157	18.4756229094	22.3436167645	27.0000960642	17.1164249745	17.4749082498	24.0411746257	18.2542744516	19.0894406239	22.4138209612	15.8142624987	17.1257537886	14.4323637082	21.2044304233	17.586146969	19.4047877949	23.434113756	16.0286986373	16.1463898192	18.8159159909	14.7878537631	19.8685490348	16.248979641	15.0659916192	16.1437549545	21.3960480005	21.2986977103	20.1885253688	10.3589092807	19.2544860381	20.5353679419	18.2303435043	23.5454712875	18.7430651014	23.8243565437	16.3277765212	16.5100664049	17.5858558336	27.4902983353	17.328334808	12.6098444494	20.7544264045	22.1278562458	16.1013615761	22.3287293762	18.5258331687	16.8315740823	19.8741858117	15.7653507495	21.7669272642	23.6383408919	20.5224526653	16.0941405699	13.3855240655	16.6273263786	15.9886412983	14.9409129326	16.0655775839	16.5218500371	20.6963915614	19.2671460068	14.0439946915	15.858566478	18.70059664	14.7959039546	22.6668265747	15.8409776885	17.5779511558	14.952316547	16.0383381821	17.0715596001	17.8242356211	19.4327668779	15.9398141673	19.9096443287	19.9300240044	16.3353197597	17.0929425681	17.0532875269	22.3692387024
