Index	noEntero_Shannon	noEntero_Count
MHS123	1.97956457	35
MHS124	2.140660786	31
MHS125	1.519833265	37
MHS126	1.989880881	40
MHS127	2.623736039	43
MHS128	1.922887872	23
MHS129	1.859561097	31
MHS130	1.772862641	30
MHS131	1.20207288	30
MHS132	1.788835748	36
MHS133	2.256787511	38
MHS134	1.33605048	36
MHS135	1.684233661	23
MHS136	1.61471707	40
MHS137	2.736680144	59
MHS138	1.687988252	38
MHS139	1.676254791	40
MHS140	2.587473457	46
MHS141	2.533902376	40
MHS142	1.711293433	35
MHS143	0.910071232	29
