indiv	fam	timepoint	relation	0.0	0.01	0.02	0.03	0.04	0.05	0.06	0.07	0.08	0.09	0.1	0.11	0.12	0.13	0.14	0.15	0.16	0.17	0.18	0.19	0.2	0.21	0.22	0.23	0.24	0.25	0.26	0.27	0.28	0.29	0.3	0.31	0.32	0.33	0.34	0.35	0.36	0.37	0.38	0.39	0.4	0.41	0.42	0.43	0.44	0.45	0.46	0.47	0.48	0.49	0.5	0.51	0.52	0.53	0.54	0.55	0.56	0.57	0.58	0.59	0.6	0.61	0.62	0.63	0.64	0.65	0.66	0.67	0.68	0.69	0.7	0.71	0.72	0.73	0.74	0.75	0.76	0.77	0.78	0.79	0.8	0.81	0.82	0.83	0.84	0.85	0.86	0.87	0.88	0.89	0.9	0.91	0.92	0.93	0.94	0.95	0.96	0.97	0.98	0.99
fam0457-F1-V05	fam0457	F1	V05	0	0	0	0	0	5	32	69	171	261	450	457	629	725	708	779	946	996	967	764	1389	1100	1082	1111	767	1641	1292	1168	1227	1081	1535	1261	1063	1642	1245	1501	1512	1347	1519	973	2081	1536	1686	1288	1349	1622	1470	1482	1433	278	2490	1098	1322	1104	1070	1070	979	1067	925	545	1199	813	679	647	615	601	707	271	506	402	617	352	456	402	151	487	373	238	333	148	584	395	266	331	382	396	383	265	424	247	826	511	746	694	757	848	1032	888	426	17143
fam0457-F2-V05	fam0457	F2	V05	0	0	0	0	0	0	0	0	0	5	4	20	31	58	86	79	140	141	111	104	193	154	125	172	39	158	135	111	97	64	132	69	13	113	7	53	83	23	34	5	95	49	23	12	7	49	37	18	6	0	123	5	18	47	58	14	22	53	79	7	140	95	38	129	93	27	248	9	133	137	262	158	288	179	14	373	404	214	342	77	915	693	301	613	619	768	607	490	848	353	1547	679	1329	950	1007	1043	596	93	3	19159
fam0457-F2-V06	fam0457	F2	V06	0	0	0	0	3	38	109	251	560	643	858	832	921	883	721	726	734	591	533	366	579	382	309	398	155	389	242	227	188	142	288	148	90	230	61	157	175	112	143	38	245	145	128	74	78	183	165	110	67	8	440	41	141	178	181	121	146	174	221	57	359	232	170	259	242	197	447	110	341	269	550	355	566	506	209	785	781	598	809	460	1317	1059	1019	1027	1225	1299	1312	1159	1545	1013	2091	1322	1676	1500	1415	1416	1634	1251	319	22980
fam0457-T-V02	fam0457	T	V02	0	0	8	32	41	41	41	50	62	63	71	70	83	77	76	72	78	62	54	57	73	105	79	56	39	76	77	61	72	56	67	73	45	61	55	52	56	48	32	25	64	57	70	36	48	51	55	55	44	20	83	43	59	58	47	49	47	54	53	51	69	58	59	59	57	59	54	59	53	41	62	49	92	68	60	94	84	71	97	64	168	147	106	154	156	155	162	156	269	147	705	403	725	632	762	918	1118	512	56	40019
fam0457-T-V05	fam0457	T	V05	0	2	64	438	1346	2406	2937	3364	3466	3334	3541	3164	3194	2909	2700	2554	2297	2098	1940	1597	1741	1373	1308	1258	1039	1298	1124	952	1039	836	1030	837	888	915	781	872	890	773	798	636	908	901	839	721	748	894	884	849	805	467	1232	718	870	869	848	781	852	847	900	741	1051	848	805	809	928	818	877	754	848	788	916	747	877	858	683	979	863	912	917	697	1181	1051	922	994	1084	1078	990	869	1013	799	1125	895	1105	1088	1185	1387	1852	2497	3872	11777
fam0457-T-V06	fam0457	T	V06	0	1	33	125	188	179	200	184	185	163	134	129	106	96	95	103	83	86	75	65	66	79	55	51	58	63	54	48	64	58	55	48	48	47	55	52	35	39	42	31	36	47	24	38	35	38	30	40	31	25	53	32	28	23	24	33	32	37	31	23	26	29	18	15	14	15	23	14	14	16	26	16	22	10	6	23	28	21	20	18	52	42	27	39	51	60	50	39	73	59	260	173	274	312	475	713	1275	2547	6811	57576
fam0501-T-V03	fam0501	T	V03	0	0	0	0	5	8	31	81	152	226	427	540	718	819	839	920	1019	1043	837	714	1300	1025	890	988	552	1330	1023	881	967	746	1131	922	636	1290	778	956	1029	777	955	496	1324	932	943	621	697	923	774	772	679	70	1684	554	688	742	652	577	528	679	617	292	872	605	420	514	502	451	774	218	570	421	692	492	725	651	249	908	868	522	780	391	1197	889	782	805	919	971	892	686	999	571	1387	840	1035	901	923	1065	1177	867	191	18365
fam0501-T-V04	fam0501	T	V04	0	0	0	0	0	5	15	34	57	62	62	89	95	100	119	125	161	183	179	137	335	295	280	355	221	474	423	422	460	397	604	570	459	730	495	707	688	650	773	401	1051	749	825	625	621	852	786	722	765	147	1346	621	810	674	642	634	597	664	645	334	673	488	419	409	424	358	442	163	324	209	342	190	263	192	84	268	199	117	145	45	289	224	116	203	245	271	254	256	471	287	1011	685	1086	1210	1306	1720	2039	1951	1083	30838
fam0501-T-V08	fam0501	T	V08	0	0	0	0	0	0	0	0	1	0	2	3	6	6	7	5	7	8	5	7	11	7	4	6	3	10	11	12	9	6	8	14	2	8	13	16	14	6	11	6	20	8	17	11	11	20	16	10	7	2	27	4	6	10	5	8	8	9	6	2	12	6	4	7	4	6	4	4	7	5	11	9	6	1	0	6	8	2	5	1	23	17	9	23	20	26	29	33	62	35	344	181	399	401	519	735	875	502	54	35082
